TrialNo	MovNo	NbrCycles	X	Y	Z	Rz	Fx	Fx_control	Fy	Fy_control	Fz	Fz_control	TrigCam	Relative	Acc
15	1	1000	1.33	11.93	0	0	0	0	0	0	0	0	0	1	100000
15	2	3168	1.33	11.93	0	0	0	0	0	0	0	0	0	1	100000
15	3	900	1.33	11.93	-15	0	0	0	0	0	0	0	0	1	100000
15	4	1000	1.33	11.93	-15	0	0	0	0	0	0	0	0	1	100000
15	5	900	1.33	11.93	0	0	0	0	0	0	0	0	0	1	100000
16	1	1000	-11.63	5.8	0	0	0	0	0	0	0	0	0	1	100000
16	2	3355	-11.63	5.8	0	0	0	0	0	0	0	0	0	1	100000
16	3	900	-11.63	5.8	-15	0	0	0	0	0	0	0	0	1	100000
16	4	1000	-11.63	5.8	-15	0	0	0	0	0	0	0	0	1	100000
16	5	900	-11.63	5.8	0	0	0	0	0	0	0	0	0	1	100000
17	1	1000	-9.06	-9.32	0	0	0	0	0	0	0	0	0	1	100000
17	2	3024	-9.06	-9.32	0	0	0	0	0	0	0	0	0	1	100000
17	3	900	-9.06	-9.32	-15	0	0	0	0	0	0	0	0	1	100000
17	4	1000	-9.06	-9.32	-15	0	0	0	0	0	0	0	0	1	100000
17	5	900	-9.06	-9.32	0	0	0	0	0	0	0	0	0	1	100000
18	1	1000	1.19	-13.95	0	0	0	0	0	0	0	0	0	1	100000
18	2	3366	1.19	-13.95	0	0	0	0	0	0	0	0	0	1	100000
18	3	900	1.19	-13.95	-15	0	0	0	0	0	0	0	0	1	100000
18	4	1000	1.19	-13.95	-15	0	0	0	0	0	0	0	0	1	100000
18	5	900	1.19	-13.95	0	0	0	0	0	0	0	0	0	1	100000
19	1	1000	14.83	2.22	0	0	0	0	0	0	0	0	0	1	100000
19	2	4614	14.83	2.22	0	0	0	0	0	0	0	0	0	1	100000
19	3	900	14.83	2.22	-15	0	0	0	0	0	0	0	0	1	100000
19	4	1000	14.83	2.22	-15	0	0	0	0	0	0	0	0	1	100000
19	5	900	14.83	2.22	0	0	0	0	0	0	0	0	0	1	100000
20	1	1000	-0.58	-10.98	0	0	0	0	0	0	0	0	0	1	100000
20	2	3866	-0.58	-10.98	0	0	0	0	0	0	0	0	0	1	100000
20	3	900	-0.58	-10.98	-15	0	0	0	0	0	0	0	0	1	100000
20	4	1000	-0.58	-10.98	-15	0	0	0	0	0	0	0	0	1	100000
20	5	900	-0.58	-10.98	0	0	0	0	0	0	0	0	0	1	100000
